#Wave		#Intensity
2372.977051	8904.134766
2375.433838	8784.055664
2377.888184	8937.221680
2380.340088	9007.047852
2382.789551	8920.831055
2385.236816	9209.330078
2387.681885	9143.532227
2390.124268	9283.304688
2392.564453	9375.164062
2395.002441	9430.250977
2397.437988	9424.851562
2399.871338	9540.648438
2402.302246	9691.599609
2404.730957	9771.778320
2407.157471	9848.988281
2409.581543	9853.088867
2412.003418	9960.394531
2414.422852	9898.418945
2416.840332	10119.668945
2419.255371	9967.605469
2421.668213	10189.271484
2424.078613	10364.649414
2426.487061	10604.679688
2428.893311	10393.156250
2431.297119	10570.156250
2433.698975	10629.828125
2436.098389	10528.088867
2438.495850	10720.208984
2440.890869	10898.036133
2443.283936	10804.529297
2445.674805	10926.229492
2448.063477	10951.831055
2450.449951	10845.456055
2452.834229	10789.186523
2455.216309	11217.634766
2457.596436	11101.666016
2459.974365	11268.269531
2462.350098	11180.490234
2464.723877	11318.965820
2467.095459	11514.583008
2469.464844	11445.689453
2471.832031	11379.811523
2474.197510	11652.017578
2476.560547	11569.219727
2478.921631	11847.309570
2481.280762	11697.712891
2483.637695	11850.122070
2485.992432	11810.615234
2488.345215	11931.456055
2490.696045	12037.589844
2493.044678	11927.803711
2495.391357	12026.603516
2497.736084	12033.848633
2500.078613	12203.289062
2502.419189	12077.126953
2504.757812	12413.610352
2507.094482	12321.592773
2509.428955	12448.917969
2511.761475	12384.583008
2514.092041	12484.233398
2516.420654	12515.314453
2518.747070	12592.625977
2521.071777	12668.964844
2523.394287	12362.215820
2525.714844	12732.535156
2528.033447	12761.664062
2530.350342	12646.211914
2532.665039	12875.068359
2534.977783	12751.895508
2537.288574	12934.653320
2539.597656	13037.566406
2541.904541	13053.932617
2544.209473	12987.870117
2546.512695	13013.937500
2548.813965	12881.407227
2551.113037	13177.027344
2553.410400	13115.093750
2555.705811	12910.356445
2557.999512	13060.599609
2560.291016	12952.518555
2562.580811	12986.169922
2564.868652	13124.752930
2567.154541	13111.526367
2569.438721	12927.506836
2571.720947	13308.401367
2574.001221	13151.599609
2576.279785	13240.295898
2578.556396	13208.318359
2580.831055	13259.791016
2583.104004	13319.023438
2585.375000	13405.848633
2587.644043	13359.484375
2589.911377	13490.541992
2592.177002	13497.092773
